date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2017-09-12,get my parking,consumer internet,smart parking enabler,new delhi,indian angel network,private equity,26.7Cr,2017,9,3
2017-09-13,wittyfeed,technology,content marketing platform,indore,anand chandrasekaran apurva chamaria ritesh malik ashish toshniwal ajeet khurana,seed funding,0.0Cr,2017,9,3
2017-09-13,glowroad,consumer internet,women focussed customer-to-customer reseller network,bangalore,accel partners saif partners,private equity,17.8Cr,2017,9,3
2017-09-13,oyorooms,consumer internet,udget hotel marketplace,gurgaon,china lodging group,private equity,89.0Cr,2017,9,3
2017-09-13,unacademy,consumer internet,online learning platform,mumbai,sequoia capital india,private equity,102.35Cr,2017,9,3
2017-09-13,heterogenous,technology,telecom & iot platform,chennai,chennai angels keiretsu forum and others,seed funding,6.942Cr,2017,9,3
2017-09-14,gurukul,consumer internet,co-working space provider,new delhi,rohit nanda rajit nanda smarak bhuyan sashwat brahma,seed funding,0.0Cr,2017,9,3
2017-09-14,smaaash,technology,virtual reality gaming and entertainment platform,mumbai,ecl finance,private equity,391.6Cr,2017,9,3
2017-09-14,wheelstreet,consumer portal,bike rental platform,bangalore,y combinator,seed funding,1.068Cr,2017,9,3
2017-09-14,xprep,consumer internet,online tutoring platform,new delhi,rising stars manish amin pallav pandey chavi jafa,private equity,0.0Cr,2017,9,3
2017-09-18,the moms co,ecommerce,pregnancy & baby care product etailer,gurgaon,dsg consumer partners sequoia capital saama capital,private equity,8.9Cr,2017,9,3
2017-09-19,noticeboard,technology,"mobile-first communication platform for on-field staff,",bangalore,shamik sharma aprameya radhakrishna,seed funding,0.0Cr,2017,9,3
2017-09-19,highradius,technology,integrated receivables software solutions,hyderabad,susquehanna growth equity,private equity,445.0Cr,2017,9,3
2017-09-20,hwell24 plus,healthcare,technology-empowered healthcare solutions,mumbai,un disclosed investors,seed funding,0.0Cr,2017,9,3
2017-09-21,savebc,finance,financial services firm,gaya,incofin investment management,private equity,53.4Cr,2017,9,3
2017-09-21,gaming monk,consumer internet,e-sports platform,new delhi,advantedge,private equity,0.0Cr,2017,9,3
2017-09-21,91springboard,consumer internet,co-working spaces,new delhi,sandway investment ltd pearl brook holdings silo holdings and al nour,private equity,0.0Cr,2017,9,3
2017-09-21,homergize,ecommerce,home furnishing & building material marketplace,bangalore,lg chandrasekhar,private equity,8.9Cr,2017,9,3
2017-09-22,yatracom,ecommerce,online travel agency,gurgaon,innoven capital,debt funding,137.06Cr,2017,9,3
2017-09-22,ace turtle,technology,omni-channel web commerce solutions provider,bangalore,innoven capital,private equity,0.0Cr,2017,9,3
2017-09-25,vogo,consumer internet,scooter rental platform,bangalore,av thomas group,seed funding,0.0Cr,2017,9,3
